chunk1,chunk2,vector
for trust,for trust,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
call,call,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
for strike,for strike,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in protest,Turkey unrest,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
over police violence,over police crackdown,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
2 Turkish unions,Unions,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
South African icon Nelson Mandela,'s Nelson Mandela,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
hospitalized,Hospitalized,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
UBS,UBS,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
settles,settles,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
US mortgage lawsuit,US mortgage lawsuit,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
"North , South Korea","North , South Korea","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
to talks,rare talks,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]"
gun control plans,gun control plans,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Obama,Obama,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
to announce,to set out,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
killed,killed,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Six Australians,Dozens,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
in Laos plane crash,in Laos plane crash,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
sarin,sarin,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
confirms,finds,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
in Syria attack,in Syria chemical weapons attack,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
UN,U.N.,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
used,used,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
$ 53m,$ 53 million worth,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
steals,steals,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
of jewels,of jewels,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Cannes thief,Robber,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Ex-Virginia governor Bob McDonnell,"'s ex-Gov . Bob McDonnell , wife","[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]"
with corruption,with corruption,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
charged,charged,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Pakistan,Pakistan,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
most senior Afghan Taliban prisoner,senior Taliban commander,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
to release,to release,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
bites,bites,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
costs,costs,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Bollywood,Bollywood,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
cuts,cuts,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
as rupee collapse,as rupee crisis,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
killing,killing,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Tornadoes,Tornadoes,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
rip,hit,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
6,5,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
through Midwest,U.S. Midwest,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
rejects,rejects,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
US hacking claims,` groundless ' US hacking accusations,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]"
's new PM,China Premier Li,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
New Zealand,New Zealand,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
to legalise,to legalise,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
gay marriage,same-sex marriage,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
set,votes,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
East Timor,East Timor,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
amid killings,Amid Killings,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
martial arts clubs,Martial Arts Schools,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
bans,Bans,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
at Boston Marathon,of Boston Marathon,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
loud booms,two explosions,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
election result,election result,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Kenya Supreme Court,Kenya SC,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
upholds,upholds,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
for Wednesday,for Today,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]"
10 Things,10 Things,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
to Know,to Know,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
's Hugo Chavez,Venezuelan President Hugo Chavez,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
dies,dies,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
of cancer,of cancer,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
's next chair,as New Central Bank Chief,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
US Senate,US Senate,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Yellen,Janet Yellen,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
confirms,Confirms,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in India anti-rape protests,in gang-rape protest,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
Officer,Indian policeman,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
injured,injured,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
dies,dies,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
US,U.S.,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in Syria,by Syria,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Determine,No Conclusive Evidence,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]"
Chemical Weapons Use,of Chemical Arms Use,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Nobel Prize winning author Doris Lessing,Nobel laureate Doris Lessing,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
dies,dies,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Yellen,Yellen,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
as Fed head,'s next chair,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
Senate,US Senate,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
confirms,confirms,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
buried,buried,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Boston bombing suspect,Boston bomb suspect,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in Virginia,in Virginia cemetery,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
restored,resumes,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
"Internet , phone service",Internet service,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
in Syrian capital,in Syria,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
Syrian PM,Syrian PM,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Bomb Attack,bomb attack,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Survives,survives,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
for Nelson Mandela,for Nelson Mandela,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
prays,in prayer and song,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]"
South Africa,South Africa,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
At least 38 Morsi supporters,of Morsi supporters,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
die,killed,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in clashes,in Egypt clashes,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
on iPhone disappointment,after earnings disappointment,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
Apple shares,Apple stock,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
to lure Gulf investors,to lure investors,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
set,seeks,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
Egypt,Egypt,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Miss America 2013,Miss America,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
Miss New York,Miss New York,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Crowned,is crowned,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
at mid-day,at mid-day,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
KLCI Futures,KL shares,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
mixed,mixed,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Iranian exiles,At least 47 Iranian exiles,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
in Iraq camp,'s Camp Ashraf,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
in London,in London,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Helicopter,Helicopter,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
crashes,crashes,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
China,China,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
's new defense zone,'s new defense zone,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Japanese planes,"Japan , S Korean military planes","[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]"
flew into,defy,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
Janet Yellen,Janet Yellen,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
as US Federal Reserve chief,as next Federal Reserve Chair,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
US Senate,Senate,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
confirms,confirms,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
rises,rises,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
as Storm Xaver,"as wind , rain","[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
Death toll,Storm death toll,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
batters,batters,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
northern Europe,north . Europe,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in Lebanon,in Lebanon,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
kidnap,kidnap,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
airline pilots,2 Turkish Airlines pilots,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]"
Gunmen,Gunmen,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
U.S. drone strike,Pakistan drone strike,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
5,up to six,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
kills,kills,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
push,pushes,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
into strategic rebelheld town,on rebel-held town,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
Syrian troops,Syrian army,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Thai opposition protesters,Thai protesters,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
Bangkok shutdown,Bangkok ` shutdown ',"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
begin,launch,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
on Syria Weapons,on Syria,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
France,France,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
after U.S.-Russia Deal,US-Russia Deal,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Hails,Welcomes,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
About 60,61,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
Crushed,dead,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in Ivory Coast Stampede,in Ivory Coast stampede,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Discipline,Discipline,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
against student gunman,against student,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
thought,thought,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
on Benghazi attack,on Benghazi attack,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
to testify,to testify,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Clinton,Clinton,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
's custom-made wheelchair,'s wheelchair,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
English Channel swimmer,Channel swimmer,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
Thieves,Thieves,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
snatch,steal,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
to withdraw,to withdraw,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Kurdish rebels,Kurdish rebels,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
from Turkey,from Turkey,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Iranian president,Iranian minister,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
for new nuclear talks,for failed nuke talks,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
Mandela,Mandela movie,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
Queen,US presidents,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
to Nelson Mandela,to Mandela,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
pays tribute,pay tribute,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Iraq violence,Iraq violence,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
kills,kills,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
11,seven,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
"US , UK chemical arms claims",chemical weapons,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
Syria,Syria,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Obama,Obama,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
jokes,pokes fun at,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
' dinner,during press dinner,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
21,20,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
kill,kill,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in suicide attacks,Car bombs,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
in Niger,near Syrian border,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
's nuclear plant,into Iran nuclear deal,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
in Pakistan,Pakistani police,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
for March 11,for January 14,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
News summary,News summary,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
killed,Six dead,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
by Indonesia volcano eruption,in Indonesian volcanic eruption,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Indonesia,Indonesia,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
gay marriage bill,gay workers bill,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
Hawaii,US Senate,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
passes,passes,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Singapore stocks,Indian stocks,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
0.4 % higher,higher,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
close,open,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]"
Say,Say,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
"Mar. 12 , 2013","June 25 , 2013","[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
What,What,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
the Papers,the Papers,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
end up,close,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Singapore stocks,Singapore stocks,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
0.11 pct,0.54 pct higher,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]"
Pakistani girls,Pakistani girl,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
of Oscar Pistorius,Oscar Pistorius,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
' girlfriend Reeva Steenkamp,Steenkamp,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
over Syria,for Syria,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
's chemical weapons,'s chemical weapons,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Egypt,Egypt army,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
Ten,Six,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
rescued,rescued,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
"off Waterford , Dublin coasts",in Dublin Bay,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]"
Senior Pakistani Taliban commander,Pakistan Shi'ites,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
from west Chinas violence,from NE China fire,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
Death toll,Death toll,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
rises,rises,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
to 35,to 112,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
South Korean soldiers,to South,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
into North,North Korea,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Mandela family,Mandela family,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
meets,to meet,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Obama,Obamas,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in hospital,hospital,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
vs,against,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in early trade,in early trade,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
8 paise,22 paise,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
Rupee,Rupee,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
down,up,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]"
dollar,dollar,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
open,close,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]"
Indian stocks,Indian stocks,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
lower,lower,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Four,Owner,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
arrested,arrested,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
rises,reaches,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
to 352,372,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
as Bangladesh building toll,as Bangladesh building toll,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Indian troops,Indian troops,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
kill,raid,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
Pakistani soldier,Pakistani military post,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
Brazilian leader,Brazil leader,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
crisis talks,reform vote,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
US,US House,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
in Iraq,across Iraq,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
killed,killed,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in attacks,in attacks,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
7,27,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
in NW Pakistan,in NW Pakista,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
killed,killed,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
injured,injured,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
12,6,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
25,12,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
in bomb blast,in blast,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
Turkish police,British police,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
Syria opposition vote,Syrian opposition,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
peace talks,for talks,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
Syria car bomb,Sinai car bomb,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
at least 12,at least 10 Egyptian soldiers,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
kills,kills,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Bangladesh building collapse death toll,Indian building collapse death toll,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
hits,rises,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
359,to 72,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
in `` insider '' attack,in bomb attack,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
killed,killed,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in Afghanistan,in NW Pakistan,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
Two U.S. soldiers,8 soldiers,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
kills,kills,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
10 young girls,nine,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
Blast,Blast,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in eastern Afghanistan,in southern Afghanistan,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
at sea,at sea,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
's chemical weapons,Syria chemical weapon stockpile,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
could end up,to destroy,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
in Pakistan,in Pakistan,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
female politician,5 female teachers,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]"
Gunmen,Gunmen,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
kill,kill,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Ready,ready,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
China,China,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
